date,program_type,vacancies_per_day,beds_per_day,percent_vacant_per_day,year,month,day,percent_occupied_per_day
2019-07-01,Crisis Shelters,45,246,18.29,2019,7,1,81.71000000000001
2019-07-01,Transitional Independent Living (HYA),25,25,100,2019,7,1,0
2019-07-01,Transitional Independent Living (TIL),85,450,18.89,2019,7,1,81.11
2019-07-02,Crisis Shelters,42,246,17.07,2019,7,2,82.93
2019-07-02,Transitional Independent Living (HYA),25,25,100,2019,7,2,0
2019-07-02,Transitional Independent Living (TIL),83,450,18.44,2019,7,2,81.56
2019-07-03,Crisis Shelters,46,246,18.7,2019,7,3,81.3
2019-07-03,Transitional Independent Living (HYA),25,25,100,2019,7,3,0
2019-07-03,Transitional Independent Living (TIL),84,450,18.67,2019,7,3,81.33
2019-07-04,Crisis Shelters,47,246,19.11,2019,7,4,80.89
2019-07-04,Transitional Independent Living (HYA),25,25,100,2019,7,4,0
2019-07-04,Transitional Independent Living (TIL),83,450,18.44,2019,7,4,81.56
2019-07-05,Crisis Shelters,41,246,16.67,2019,7,5,83.33
2019-07-05,Transitional Independent Living (HYA),25,25,100,2019,7,5,0
2019-07-05,Transitional Independent Living (TIL),83,450,18.44,2019,7,5,81.56
2019-07-06,Crisis Shelters,43,246,17.48,2019,7,6,82.52
2019-07-06,Transitional Independent Living (HYA),25,25,100,2019,7,6,0
2019-07-06,Transitional Independent Living (TIL),83,450,18.44,2019,7,6,81.56
2019-07-07,Crisis Shelters,41,246,16.67,2019,7,7,83.33
2019-07-07,Transitional Independent Living (HYA),25,25,100,2019,7,7,0
2019-07-07,Transitional Independent Living (TIL),83,450,18.44,2019,7,7,81.56
2019-07-08,Crisis Shelters,50,246,20.33,2019,7,8,79.67
2019-07-08,Transitional Independent Living (HYA),25,25,100,2019,7,8,0
2019-07-08,Transitional Independent Living (TIL),85,450,18.89,2019,7,8,81.11
2019-07-09,Crisis Shelters,41,246,16.67,2019,7,9,83.33
2019-07-09,Transitional Independent Living (HYA),25,25,100,2019,7,9,0
2019-07-09,Transitional Independent Living (TIL),86,450,19.11,2019,7,9,80.89
2019-07-10,Crisis Shelters,37,246,15.04,2019,7,10,84.96000000000001
2019-07-10,Transitional Independent Living (HYA),25,25,100,2019,7,10,0
2019-07-10,Transitional Independent Living (TIL),87,450,19.33,2019,7,10,80.67
2019-07-11,Crisis Shelters,37,246,15.04,2019,7,11,84.96000000000001
2019-07-11,Transitional Independent Living (HYA),25,25,100,2019,7,11,0
2019-07-11,Transitional Independent Living (TIL),89,450,19.78,2019,7,11,80.22
2019-07-12,Crisis Shelters,33,246,13.41,2019,7,12,86.59
2019-07-12,Transitional Independent Living (HYA),25,25,100,2019,7,12,0
2019-07-12,Transitional Independent Living (TIL),131,485,27.01,2019,7,12,72.99
2019-07-13,Crisis Shelters,34,246,13.82,2019,7,13,86.18
2019-07-13,Transitional Independent Living (HYA),25,25,100,2019,7,13,0
2019-07-13,Transitional Independent Living (TIL),133,485,27.42,2019,7,13,72.58
2019-07-14,Crisis Shelters,35,246,14.23,2019,7,14,85.77
2019-07-14,Transitional Independent Living (HYA),25,25,100,2019,7,14,0
2019-07-14,Transitional Independent Living (TIL),133,485,27.42,2019,7,14,72.58
2019-07-15,Crisis Shelters,36,246,14.63,2019,7,15,85.37
2019-07-15,Transitional Independent Living (HYA),25,25,100,2019,7,15,0
2019-07-15,Transitional Independent Living (TIL),140,491,28.51,2019,7,15,71.49
2019-07-16,Crisis Shelters,40,246,16.26,2019,7,16,83.74
2019-07-16,Transitional Independent Living (HYA),25,25,100,2019,7,16,0
2019-07-16,Transitional Independent Living (TIL),135,491,27.49,2019,7,16,72.51
2019-07-17,Crisis Shelters,37,246,15.04,2019,7,17,84.96000000000001
2019-07-17,Transitional Independent Living (HYA),25,25,100,2019,7,17,0
2019-07-17,Transitional Independent Living (TIL),128,491,26.07,2019,7,17,73.93
2019-07-18,Crisis Shelters,38,246,15.45,2019,7,18,84.55
2019-07-18,Transitional Independent Living (HYA),25,25,100,2019,7,18,0
2019-07-18,Transitional Independent Living (TIL),128,491,26.07,2019,7,18,73.93
2019-07-19,Crisis Shelters,29,246,11.79,2019,7,19,88.21000000000001
2019-07-19,Transitional Independent Living (HYA),25,25,100,2019,7,19,0
2019-07-19,Transitional Independent Living (TIL),126,491,25.66,2019,7,19,74.34
2019-07-20,Crisis Shelters,31,246,12.6,2019,7,20,87.4
2019-07-20,Transitional Independent Living (HYA),25,25,100,2019,7,20,0
2019-07-20,Transitional Independent Living (TIL),125,491,25.46,2019,7,20,74.53999999999999
2019-07-21,Crisis Shelters,31,246,12.6,2019,7,21,87.4
2019-07-21,Transitional Independent Living (HYA),25,25,100,2019,7,21,0
2019-07-21,Transitional Independent Living (TIL),125,491,25.46,2019,7,21,74.53999999999999
2019-07-22,Crisis Shelters,30,246,12.2,2019,7,22,87.8
2019-07-22,Transitional Independent Living (HYA),25,25,100,2019,7,22,0
2019-07-22,Transitional Independent Living (TIL),124,491,25.25,2019,7,22,74.75
2019-07-23,Crisis Shelters,32,246,13.01,2019,7,23,86.99
2019-07-23,Transitional Independent Living (HYA),25,25,100,2019,7,23,0
2019-07-23,Transitional Independent Living (TIL),125,491,25.46,2019,7,23,74.53999999999999
2019-07-24,Crisis Shelters,35,246,14.23,2019,7,24,85.77
2019-07-24,Transitional Independent Living (HYA),25,25,100,2019,7,24,0
2019-07-24,Transitional Independent Living (TIL),123,491,25.05,2019,7,24,74.95
2019-07-25,Crisis Shelters,39,246,15.85,2019,7,25,84.15
2019-07-25,Transitional Independent Living (HYA),25,25,100,2019,7,25,0
2019-07-25,Transitional Independent Living (TIL),123,491,25.05,2019,7,25,74.95
2019-07-26,Crisis Shelters,29,246,11.79,2019,7,26,88.21000000000001
2019-07-26,Transitional Independent Living (HYA),25,25,100,2019,7,26,0
2019-07-26,Transitional Independent Living (TIL),120,491,24.44,2019,7,26,75.56
2019-07-27,Crisis Shelters,32,246,13.01,2019,7,27,86.99
2019-07-27,Transitional Independent Living (HYA),25,25,100,2019,7,27,0
2019-07-27,Transitional Independent Living (TIL),119,491,24.24,2019,7,27,75.76
2019-07-28,Crisis Shelters,36,246,14.63,2019,7,28,85.37
2019-07-28,Transitional Independent Living (HYA),25,25,100,2019,7,28,0
2019-07-28,Transitional Independent Living (TIL),119,491,24.24,2019,7,28,75.76
2019-07-29,Crisis Shelters,33,246,13.41,2019,7,29,86.59
2019-07-29,Transitional Independent Living (HYA),25,25,100,2019,7,29,0
2019-07-29,Transitional Independent Living (TIL),120,491,24.44,2019,7,29,75.56
2019-07-30,Crisis Shelters,36,246,14.63,2019,7,30,85.37
2019-07-30,Transitional Independent Living (HYA),25,25,100,2019,7,30,0
2019-07-30,Transitional Independent Living (TIL),122,491,24.85,2019,7,30,75.15
2019-07-31,Crisis Shelters,33,246,13.41,2019,7,31,86.59
2019-07-31,Transitional Independent Living (HYA),25,25,100,2019,7,31,0
2019-07-31,Transitional Independent Living (TIL),124,491,25.25,2019,7,31,74.75
2019-08-01,Crisis Shelters,34,246,13.82,2019,8,1,86.18
2019-08-01,Transitional Independent Living (HYA),25,25,100,2019,8,1,0
2019-08-01,Transitional Independent Living (TIL),124,491,25.25,2019,8,1,74.75
2019-08-02,Crisis Shelters,35,246,14.23,2019,8,2,85.77
2019-08-02,Transitional Independent Living (HYA),25,25,100,2019,8,2,0
2019-08-02,Transitional Independent Living (TIL),123,491,25.05,2019,8,2,74.95
2019-08-03,Crisis Shelters,40,246,16.26,2019,8,3,83.74
2019-08-03,Transitional Independent Living (HYA),25,25,100,2019,8,3,0
2019-08-03,Transitional Independent Living (TIL),120,491,24.44,2019,8,3,75.56
2019-08-04,Crisis Shelters,40,246,16.26,2019,8,4,83.74
2019-08-04,Transitional Independent Living (HYA),25,25,100,2019,8,4,0
2019-08-04,Transitional Independent Living (TIL),121,491,24.64,2019,8,4,75.36
2019-08-05,Crisis Shelters,39,246,15.85,2019,8,5,84.15
2019-08-05,Transitional Independent Living (HYA),25,25,100,2019,8,5,0
2019-08-05,Transitional Independent Living (TIL),121,491,24.64,2019,8,5,75.36
2019-08-06,Crisis Shelters,39,246,15.85,2019,8,6,84.15
2019-08-06,Transitional Independent Living (HYA),25,25,100,2019,8,6,0
2019-08-06,Transitional Independent Living (TIL),123,491,25.05,2019,8,6,74.95
2019-08-07,Crisis Shelters,43,246,17.48,2019,8,7,82.52
2019-08-07,Transitional Independent Living (HYA),25,25,100,2019,8,7,0
2019-08-07,Transitional Independent Living (TIL),119,491,24.24,2019,8,7,75.76
2019-08-08,Crisis Shelters,42,246,17.07,2019,8,8,82.93
2019-08-08,Transitional Independent Living (HYA),25,25,100,2019,8,8,0
2019-08-08,Transitional Independent Living (TIL),119,493,24.14,2019,8,8,75.86
2019-08-09,Crisis Shelters,43,246,17.48,2019,8,9,82.52
2019-08-09,Transitional Independent Living (HYA),25,25,100,2019,8,9,0
2019-08-09,Transitional Independent Living (TIL),120,493,24.34,2019,8,9,75.66
2019-08-10,Crisis Shelters,42,246,17.07,2019,8,10,82.93
2019-08-10,Transitional Independent Living (HYA),25,25,100,2019,8,10,0
2019-08-10,Transitional Independent Living (TIL),123,493,24.95,2019,8,10,75.05
2019-08-11,Crisis Shelters,40,246,16.26,2019,8,11,83.74
2019-08-11,Transitional Independent Living (HYA),25,25,100,2019,8,11,0
2019-08-11,Transitional Independent Living (TIL),126,493,25.56,2019,8,11,74.44
2019-08-12,Crisis Shelters,43,246,17.48,2019,8,12,82.52
